Dataset,SampleSize,Target1Ratio_Set,Target0Count,Target1Count,Target1Ratio_Actual,QualityScore,DiagnosticScore
1,5000,0.01,4950,50,0.01,0.7746152291206603,1.0
2,5000,0.01,4950,50,0.01,0.772559054114178,1.0
3,5000,0.01,4950,50,0.01,0.7717740296777544,1.0
4,5000,0.01,4950,50,0.01,0.773699341818268,1.0
5,5000,0.01,4950,50,0.01,0.7718434240645695,1.0
6,5000,0.01,4950,50,0.01,0.7733357246766868,1.0
7,5000,0.01,4950,50,0.01,0.7682647079670988,1.0
8,5000,0.01,4950,50,0.01,0.7728239853747625,1.0
9,5000,0.01,4950,50,0.01,0.7709124892247095,1.0
10,5000,0.01,4950,50,0.01,0.7733695591400335,1.0
11,5000,0.01,4950,50,0.01,0.7711326063186544,1.0
12,5000,0.01,4950,50,0.01,0.7698270177369047,1.0
13,5000,0.01,4950,50,0.01,0.7728064315496388,1.0
14,5000,0.01,4950,50,0.01,0.7716004234166112,1.0
15,5000,0.01,4950,50,0.01,0.7745997007450931,1.0
16,5000,0.01,4950,50,0.01,0.7710751664793537,1.0
17,5000,0.01,4950,50,0.01,0.7736194531160495,1.0
18,5000,0.01,4950,50,0.01,0.7712063125096041,1.0
19,5000,0.01,4950,50,0.01,0.772298385676998,1.0
20,5000,0.01,4950,50,0.01,0.7726407363229326,1.0
21,5000,0.01,4950,50,0.01,0.7737606585493639,1.0
22,5000,0.01,4950,50,0.01,0.7751011251580633,1.0
23,5000,0.01,4950,50,0.01,0.7744093427034393,1.0
24,5000,0.01,4950,50,0.01,0.7717875440974835,1.0
25,5000,0.01,4950,50,0.01,0.7735652298001015,1.0
26,5000,0.01,4950,50,0.01,0.7740013090779267,1.0
27,5000,0.01,4950,50,0.01,0.7695092328147035,1.0
28,5000,0.01,4950,50,0.01,0.7724204346474832,1.0
29,5000,0.01,4950,50,0.01,0.7720586834173458,1.0
30,5000,0.01,4950,50,0.01,0.7745913117918743,1.0
31,5000,0.01,4950,50,0.01,0.7731500286421127,1.0
32,5000,0.01,4950,50,0.01,0.7747842399608658,1.0
33,5000,0.01,4950,50,0.01,0.7720711676072369,1.0
34,5000,0.01,4950,50,0.01,0.7724140198881406,1.0
35,5000,0.01,4950,50,0.01,0.7751502601021134,1.0
